"shot_id","duration_s","dialogue","voiceover","video_prompt","negative_prompt","camera_motion","reference_images","conditioning_keyframes","keyframe_dir"
"S001","12","我出门前，明明关了灯。","午夜的雨把旧公寓包成一只黑盒。林澈回家时，厨房灯自己亮着。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 午夜的雨把旧公寓包成一只黑盒。林澈回家时，厨房灯自己亮着。, 林澈低声说：我出门前，明明关了灯。. Narration: ""午夜的雨把旧公寓包成一只黑盒。林澈回家时，厨房灯自己亮着。"". 林澈 says: ""我出门前，明明关了灯。"". Camera motion: static wide establishing shot, slow dolly in from medium to close-up. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: listening); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","static wide establishing shot, slow dolly in from medium to close-up","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S001/keyframes/frame_01.jpg | assets/renders/S001/keyframes/frame_01.svg","assets/renders/S001/keyframes"
"S002","12","谁来过我家？","桌上有一只红杯，杯沿还冒着热气。那不是他的杯子。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 桌上有一只红杯，杯沿还冒着热气。那不是他的杯子。, 林澈低声说：谁来过我家？. Narration: ""桌上有一只红杯，杯沿还冒着热气。那不是他的杯子。"". 林澈 says: ""谁来过我家？"". Camera motion: medium shot, subtle hand-held camera feel, focus on subject action. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: searching); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","medium shot, subtle hand-held camera feel, focus on subject action","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S002/keyframes/frame_01.jpg | assets/renders/S002/keyframes/frame_01.svg","assets/renders/S002/keyframes"
"S003","12","这是谁发的？","手机忽然亮起，屏幕上只有一行字：别喝。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 手机忽然亮起，屏幕上只有一行字：别喝。, 林澈低声说：这是谁发的？. Narration: ""手机忽然亮起，屏幕上只有一行字：别喝。"". 林澈 says: ""这是谁发的？"". Camera motion: tight close-up, shallow depth of field, subtle breathing camera drift. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: frozen); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","tight close-up, shallow depth of field, subtle breathing camera drift","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S003/keyframes/frame_01.jpg | assets/renders/S003/keyframes/frame_01.svg","assets/renders/S003/keyframes"
"S004","12","不可能。","门外传来电梯停靠的声音，可这栋楼的电梯上周就坏了。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 门外传来电梯停靠的声音，可这栋楼的电梯上周就坏了。, 林澈低声说：不可能。. Narration: ""门外传来电梯停靠的声音，可这栋楼的电梯上周就坏了。"". 林澈 says: ""不可能。"". Camera motion: detail insert shot, smooth focus pull, macro lens feel, very slight movement. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: listening); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","detail insert shot, smooth focus pull, macro lens feel, very slight movement","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S004/keyframes/frame_01.jpg | assets/renders/S004/keyframes/frame_01.svg","assets/renders/S004/keyframes"
"S005","12","有人在外面。","他走到猫眼前，走廊空着，灯却一盏一盏熄灭。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 他走到猫眼前，走廊空着，灯却一盏一盏熄灭。, 林澈低声说：有人在外面。. Narration: ""他走到猫眼前，走廊空着，灯却一盏一盏熄灭。"". 林澈 says: ""有人在外面。"". Camera motion: over-the-shoulder shot, slow rack focus between subjects. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: searching); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","over-the-shoulder shot, slow rack focus between subjects","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S005/keyframes/frame_01.jpg | assets/renders/S005/keyframes/frame_01.svg","assets/renders/S005/keyframes"
"S006","12","这是我小时候的家？","红杯下面压着半张照片，照片里是十年前的厨房。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 红杯下面压着半张照片，照片里是十年前的厨房。, 林澈低声说：这是我小时候的家？. Narration: ""红杯下面压着半张照片，照片里是十年前的厨房。"". 林澈 says: ""这是我小时候的家？"". Camera motion: low angle shot, slight upward tilt, dramatic perspective. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: frozen); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","low angle shot, slight upward tilt, dramatic perspective","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S006/keyframes/frame_01.jpg","assets/renders/S006/keyframes"
"S007","12","妈妈？","照片角落站着一个女人，脸被雨水一样的划痕抹掉。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 照片角落站着一个女人，脸被雨水一样的划痕抹掉。, 林澈低声说：妈妈？. Narration: ""照片角落站着一个女人，脸被雨水一样的划痕抹掉。"". 林澈 says: ""妈妈？"". Camera motion: high angle shot, downward perspective, surveillance or top-down feel. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: listening); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","high angle shot, downward perspective, surveillance or top-down feel","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S007/keyframes/frame_01.jpg","assets/renders/S007/keyframes"
"S008","12","我不是都忘了吗？","林澈的记忆突然断开。母亲失踪那晚，也下着这样的雨。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 林澈的记忆突然断开。母亲失踪那晚，也下着这样的雨。, 林澈低声说：我不是都忘了吗？. Narration: ""林澈的记忆突然断开。母亲失踪那晚，也下着这样的雨。"". 林澈 says: ""我不是都忘了吗？"". Camera motion: extreme close-up, ultra shallow depth of field, slow micro-movement. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: searching); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","extreme close-up, ultra shallow depth of field, slow micro-movement","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S008/keyframes/frame_01.jpg","assets/renders/S008/keyframes"
"S009","12","够了，别响了。","水槽开始滴水，滴声像秒针，把房间切得很窄。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 水槽开始滴水，滴声像秒针，把房间切得很窄。, 林澈低声说：够了，别响了。. Narration: ""水槽开始滴水，滴声像秒针，把房间切得很窄。"". 林澈 says: ""够了，别响了。"". Camera motion: static wide establishing shot, slow dolly in from medium to close-up. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: frozen); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","static wide establishing shot, slow dolly in from medium to close-up","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S009/keyframes/frame_01.jpg","assets/renders/S009/keyframes"
"S010","12","五零三？隔壁？","红杯里浮起一枚钥匙，钥匙柄刻着五楼的门牌号。","style: Cinematic Realism v1, mood: cinematic, moody, controlled lighting, color palette: warm highlights, cool shadows. scene: Apartment Kitchen Night. red fridge, wooden table, rainy window. lighting: dim warm lamp + blue moonlight. character (charA_v1): short_black, white_hoodie + black_jeans, silver_ring_left_hand. prop (mug_red_v1): state: story_clue, visually consistent. 红杯里浮起一枚钥匙，钥匙柄刻着五楼的门牌号。, 林澈低声说：五零三？隔壁？. Narration: ""红杯里浮起一枚钥匙，钥匙柄刻着五楼的门牌号。"". 林澈 says: ""五零三？隔壁？"". Camera motion: medium shot, subtle hand-held camera feel, focus on subject action. continuity locks: charA_v1 (location: apartment_kitchen_or_hallway, pose: listening); mug_red_v1 (location: near_main_character, state: warm_and_unexplained). cinematic realistic suspense comic panel, stable young Chinese man identity, rainy old apartment, red mug as recurring clue, coherent low-cost storyboard frame. Stable visual consistency across entire clip. No character drift, no prop mutation, no scene layout shift.","cartoon, neon cyberpunk (unless explicitly requested), sunlight, daylight, modern led lights, crowd, text artifacts, logo, watermark, extra fingers, face drift, face morphing, character drift, outfit change, prop mutation, scene layout shift, distorted limbs, burnt-in subtitles, motion blur excessive, flickering, framing jump cut","medium shot, subtle hand-held camera feel, focus on subject action","assets/scenes/kitchen_apartment_01/anchor_A.svg | assets/scenes/kitchen_apartment_01/anchor_B.svg | assets/scenes/kitchen_apartment_01/anchor_C.svg | assets/characters/charA_v1/front.svg | assets/characters/charA_v1/side.svg | assets/characters/charA_v1/fullbody.svg | assets/props/mug_red_v1/ref.svg","assets/renders/S010/keyframes/frame_01.jpg","assets/renders/S010/keyframes"
